DRG v11.0,Description," Same-Day
Payment List","Bundled
ICU","Lower
Bound","Upper
Bound",PPSA - National,"Paediatric
Adjustment",Same Day,"Short-Stay Outlier
Base","Short-Stay Outlier
Per Diem",Inlier,"Long-Stay Outlier
Per Diem",PPSA - NSW,PPSA - Vic,PPSA - Qld,PPSA - SA,PPSA - WA,PPSA - Tas,PPSA - NT,PPSA - ACT,Unnamed: 21,Category,Adjustment,Unnamed: 24,Unnamed: 25,Private Patient Accommodation Adjustment,Same Day AA/ASA/NA,Overnight AA/ASA/NA,Same Day MH,Overnight MH,Unnamed: 31,Indigenous Status,Flag,Adj,Unnamed: 35,Patient Remoteness,Adjustment.1,Unnamed: 38,Funding ,Private Flag,Inscope Flag,Unnamed: 42,postcode,ra2021,Unnamed: 45,SA2,ra2021.1,Unnamed: 48,Caretype,Description.1,Inscope,Unnamed: 52,MDC 19/20,Age <= 17,Specialist Hospital,Code,Specialist Psych,Unnamed: 58,Funding Input,Selection,Unnamed: 61,IHPA DSS Data Set Selection,2011-12 and Earlier,Unnamed: 64,2012-13 and Later,Unnamed: 66,Adopted Private Flag,Adopted Inscope Flag,Unnamed: 69,HAC Group,Base Score,Age Group - 0-5,Age Group - 5-10,Age Group -10-15,Age Group - 15-20,Age Group - 20-25,Age Group - 25-30,Age Group - 30-35,Age Group - 35-40,Age Group - 40-45,Age Group - 45-50,Age Group - 50-55,Age Group - 55-60,Age Group - 60-65,Age Group - 65-70,Age Group - 70-75,Age Group - 75-80,Age Group - 80-85,Age Group - 85-90,Age Group - 90-95,Age Group - 95-99,Unnamed: 92,DRG v10.0,Type,MDC,Unnamed: 96,HAC Group.1,I,M,Unnamed: 100,HAC Group - MDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B04B,"Extracranial Vascular Interventions, Intermediate Complexity",0.0,0.0,2.0,20.0,0.162,1.0,,1.0448,1.3948,3.8344,0.253,0.264,0.134,0.068,0.086,0.123,0.092,0.162,0.162,,,,,,,,,,,,,,,,,,,,,,,PC0850,3,,101041026.0,1.0,,,,,,,,,,,,,,,,,,,,,9,,4,0,0,1.3929,1.0521,11.4558,,4,1,73,77,,,,,,,,,,,,,B03B,I,1,,1,1,0.394,0.308,,,,,,,,,,,,,,,,,,,,,,,,,
B04C,"Extracranial Vascular Interventions, Minor Complexity",0.0,0.0,1.0,8.0,0.212,1.0,,,,2.4543,0.2635,0.277,0.134,0.068,0.086,0.123,0.092,0.212,0.212,,,,,,,,,,,,,,,,,,,,,,,PC0852,4,,101041027.0,2.0,,,,,,,,,,,,,,,,,,,,,,,6,0,-1.5089,0.7157,3.3144,14.6391,,6,1,77,82,,HAC15.2 age group,,,,,,,,,,,B03C,I,1,,2,1,0.507,0.409,,,,,,,,,,,,,,,,,,,,,,,,,
B05Z,Carpal Tunnel Release,0.0,0.0,1.0,3.0,0.205,1.0,,,,0.4568,0.1644,0.275,0.319,0.037,0.149,0.123,0.092,0.205,0.205,,,,,,,,,,,,,,,,,,,,,,,PC0853,3,,101051539.0,1.0,,,,,,,,,,,,,,,,,,,,,,,7,0,0.1392,2.1352,3.9333,11.6291,,7,1,67,71,,0,4.2065,,,,,,,,,,B04A,I,1,,3,1,0.209,0.196,,,,,,,,,,,,,,,,,,,,,,,,,
B06A,"Interventions for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Major Complexity",0.0,0.0,6.0,59.0,0.147,0.83,,1.4537,1.1613,8.4214,0.2261,0.192,0.154,0.077,0.086,0.123,0.092,0.147,0.147,,,,,,,,,,,,,,,,,,,,,,,PC0854,4,,101051540.0,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,-1.3894,0,-1.329,23.5476,,8,1,68,73,,1,0,,,,,,,,,,B04B,I,1,,4,1,0.348,0.258,,,,,,,,,,,,,,,,,,,,,,,,,
B06B,"Interventions for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Intermediate Complexity",1.0,0.0,1.0,18.0,0.125,1.0,0.854,,,3.1898,0.2505,0.192,0.154,0.077,0.086,0.123,0.092,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,PC0860,4,,101061541.0,1.0,,,,,,,,,,,,,,,,,,,,,,,9,0,-0.2085,2.2864,3.1817,6.8166,,9,1,64,72,,2,-1.6243,,,,,,,,,,B04C,I,1,,5,1,0.514,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
B06C,"Interventions for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Minor Complexity",0.0,0.0,1.0,4.0,0.16,1.43,,,,0.9207,0.2906,0.232,0.154,0.077,0.086,0.123,0.092,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,PC0862,4,,101061542.0,1.0,,,,,,,,,,,,,,,,,,,,,,,10,0,0.1016,1.187,4.1095,8.8122,,10,1,59,65,,,,,,,,,,,,,B05Z,I,1,,6,1,0.284,0.209,,,,,,,,,,,,,,,,,,,,,,,,,
B07A,"Cranial or Peripheral Nerve and Other Nervous System Interventions, Major Complexity",0.0,0.0,4.0,41.0,0.115,1.4,,0.8997,1.044,5.0755,0.2344,0.241,0.127,0.047,0.086,0.123,0.092,0.115,0.115,,,,,,,,,,,,,,,,,,,,,,,PC0870,3,,101061543.0,1.0,,,,,,,,,,,,,,,,,,,,,,,11,0,-0.758,1.571,3.7715,10.6394,,11,1,73,79,,,,,,,,,,,,,B06A,I,1,,7,1,0.316,0.205,,,,,,,,,,,,,,,,,,,,,,,,,
B07B,"Cranial or Peripheral Nerve and Other Nervous System Interventions, Minor Complexity",0.0,0.0,1.0,5.0,0.151,1.24,,,,1.0592,0.2936,0.285,0.126,0.029,0.086,0.123,0.092,0.151,0.151,,,,,,,,,,,,,,,,,,,,,,,PC0872,4,,101061544.0,1.0,,,,,,,,,,,,,,,,,,,,,,,12,0,0.4095,1.7246,4.5124,8.843,,12,1,59,61,,,,,,,,,,,,,B06B,I,1,,8,1,0.4,0.337,,,,,,,,,,,,,,,,,,,,,,,,,
B08A,"Endovascular Clot Retrieval, Major Complexity",0.0,0.0,3.0,28.0,0.116,1.0,,1.2322,2.0715,7.4466,0.3092,0.245,0.114,0.043,0.084,0.123,0.092,0.116,0.116,,,,,,,,,,,,,,,,,,,,,,,PC0873,3,,102011028.0,0.0,,,,,,,,,,,,,,,,,,,,,,,13,0,0,2.2309,4.4909,6.3127,,13,1,67,74,,,,,,,,,,,,,B06C,I,1,,9,1,0.386,0.333,,,,,,,,,,,,,,,,,,,,,,,,,
B08B,"Endovascular Clot Retrieval, Minor Complexity",0.0,0.0,1.0,12.0,0.201,1.0,,,,4.2523,0.2573,0.317,0.114,0.043,0.106,0.123,0.092,0.201,0.201,,,,,,,,,,,,,,,,,,,,,,,PC0874,3,,102011029.0,0.0,,,,,,,,,,,,,,,,,,,,,,,14,0,0,0.4242,0.0472,12.2126,,14,1,76,83,,,,,,,,,,,,,B07A,I,1,,10,1,0.457,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
