DRG v11.0,Description," Same-Day
Payment List","Bundled
ICU","Lower
Bound","Upper
Bound",PPSA - National,"Paediatric
Adjustment",Same Day,"Short-Stay Outlier
Base","Short-Stay Outlier
Per Diem",Inlier,"Long-Stay Outlier
Per Diem",PPSA - NSW,PPSA - Vic,PPSA - Qld,PPSA - SA,PPSA - WA,PPSA - Tas,PPSA - NT,PPSA - ACT,Unnamed: 21,Category,Adjustment,Unnamed: 24,Unnamed: 25,Private Patient Accommodation Adjustment,Same Day AA/ASA/NA,Overnight AA/ASA/NA,Same Day MH,Overnight MH,Unnamed: 31,Indigenous Status,Flag,Adj,Unnamed: 35,Patient Remoteness,Adjustment.1,Unnamed: 38,Funding ,Private Flag,Inscope Flag,Unnamed: 42,postcode,ra2021,Unnamed: 45,SA2,ra2021.1,Unnamed: 48,Caretype,Description.1,Inscope,Unnamed: 52,MDC 19/20,Age <= 17,Specialist Hospital,Code,Specialist Psych,Unnamed: 58,Funding Input,Selection,Unnamed: 61,IHPA DSS Data Set Selection,2011-12 and Earlier,Unnamed: 64,2012-13 and Later,Unnamed: 66,Adopted Private Flag,Adopted Inscope Flag,Unnamed: 69,HAC Group,Base Score,Age Group - 0-5,Age Group - 5-10,Age Group -10-15,Age Group - 15-20,Age Group - 20-25,Age Group - 25-30,Age Group - 30-35,Age Group - 35-40,Age Group - 40-45,Age Group - 45-50,Age Group - 50-55,Age Group - 55-60,Age Group - 60-65,Age Group - 65-70,Age Group - 70-75,Age Group - 75-80,Age Group - 80-85,Age Group - 85-90,Age Group - 90-95,Age Group - 95-99,Unnamed: 92,DRG v10.0,Type,MDC,Unnamed: 96,HAC Group.1,I,M,Unnamed: 100,HAC Group - MDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
T01A,"Infectious and Parasitic Diseases with GIs, Major Complexity",0.0,0.0,17.0,40.0,0.09,1.47,,0.9584,0.6064,11.2664,0.267,0.109,0.086,0.036,0.063,0.078,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,PC3033,0,,203031489.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R62B,M,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T01B,"Infectious and Parasitic Diseases with GIs, Intermediate Complexity",0.0,0.0,5.0,45.0,0.088,1.24,,0.5592,1.0661,5.8899,0.2284,0.124,0.086,0.036,0.063,0.078,0.088,0.088,0.088,,,,,,,,,,,,,,,,,,,,,,,PC3034,0,,203031490.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R62C,M,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T01C,"Infectious and Parasitic Diseases with GIs, Minor Complexity",0.0,0.0,2.0,23.0,0.105,1.19,,0.3639,1.1538,2.6715,0.2245,0.155,0.071,0.034,0.063,0.078,0.105,0.105,0.105,,,,,,,,,,,,,,,,,,,,,,,PC3036,0,,204011054.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R63Z,M,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T40Z,Infectious and Parasitic Diseases with Ventilator Support,0.0,0.0,2.0,25.0,0.082,1.0,,0.0728,2.7359,5.5446,0.3641,0.125,0.086,0.035,0.065,0.075,0.082,0.082,0.082,,,,,,,,,,,,,,,,,,,,,,,PC3037,0,,204011055.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T01A,I,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60A,"Sepsis, Septic Shock and Systemic Infection, Major Complexity",0.0,0.0,4.0,39.0,0.087,1.28,,0.0,1.1423,4.5693,0.2441,0.121,0.075,0.042,0.06,0.06,0.044,0.016,0.087,,,,,,,,,,,,,,,,,,,,,,,PC3038,0,,204011056.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T01B,I,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60B,"Sepsis, Septic Shock and Systemic Infection, Intermediate Complexity",0.0,0.0,2.0,21.0,0.089,1.12,,0.0,1.1266,2.2533,0.2303,0.117,0.08,0.046,0.066,0.058,0.044,0.016,0.089,,,,,,,,,,,,,,,,,,,,,,,PC3039,0,,204011057.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T01C,I,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60C,"Sepsis, Septic Shock and Systemic Infection, Minor Complexity",0.0,0.0,1.0,12.0,0.089,1.11,,,,1.0568,0.2322,0.132,0.064,0.044,0.052,0.052,0.044,0.016,0.089,,,,,,,,,,,,,,,,,,,,,,,PC3040,0,,204011058.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T40Z,I,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T61A,"Postoperative Infections, Major Complexity",0.0,0.0,2.0,20.0,0.07,1.41,,0.0,0.8381,1.6762,0.1698,0.097,0.048,0.029,0.047,0.024,0.046,0.016,0.07,,,,,,,,,,,,,,,,,,,,,,,PC3041,0,,204011059.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T60A,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T61B,"Postoperative Infections, Minor Complexity",0.0,0.0,1.0,10.0,0.072,1.56,,,,0.657,0.1538,0.094,0.051,0.034,0.047,0.024,0.046,0.016,0.072,,,,,,,,,,,,,,,,,,,,,,,PC3042,0,,204011060.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T60B,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T62A,"Fever of Unknown Origin, Major Complexity",0.0,0.0,1.0,17.0,0.093,0.9,,,,1.5924,0.26,0.125,0.078,0.041,0.068,0.056,0.046,0.016,0.093,,,,,,,,,,,,,,,,,,,,,,,PC3043,0,,204011061.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T60C,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T62B,"Fever of Unknown Origin, Minor Complexity",0.0,0.0,1.0,6.0,0.1,0.8,,,,0.5328,0.2709,0.134,0.078,0.056,0.06,0.06,0.046,0.016,0.1,,,,,,,,,,,,,,,,,,,,,,,PC3044,0,,204011062.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T61A,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T63A,"Viral Illnesses, Major Complexity",0.0,0.0,2.0,20.0,0.055,0.8,,0.0,0.8245,1.6489,0.2392,0.081,0.042,0.027,0.039,0.033,0.046,0.016,0.055,,,,,,,,,,,,,,,,,,,,,,,PC3045,0,,204021063.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T61B,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T63B,"Viral Illnesses, Minor Complexity",0.0,0.0,1.0,8.0,0.061,0.84,,,,0.3502,0.2676,0.086,0.05,0.041,0.031,0.04,0.046,0.016,0.061,,,,,,,,,,,,,,,,,,,,,,,PC3046,0,,204021064.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T62A,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64A,"Other Infectious and Parasitic Diseases, Major Complexity",0.0,0.0,5.0,53.0,0.066,1.14,,0.0,1.0249,5.1245,0.233,0.096,0.049,0.039,0.042,0.065,0.046,0.016,0.066,,,,,,,,,,,,,,,,,,,,,,,PC3047,0,,204021065.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T62B,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64B,"Other Infectious and Parasitic Diseases, Intermediate Complexity",0.0,0.0,2.0,27.0,0.08,1.1,,0.0,1.1137,2.2275,0.184,0.115,0.059,0.045,0.042,0.065,0.046,0.016,0.08,,,,,,,,,,,,,,,,,,,,,,,PC3048,0,,204021066.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T63A,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64C,"Other Infectious and Parasitic Diseases, Minor Complexity",1.0,0.0,1.0,16.0,0.082,1.13,0.2022,,,1.1592,0.1483,0.112,0.083,0.047,0.042,0.065,0.046,0.016,0.082,,,,,,,,,,,,,,,,,,,,,,,PC3049,0,,204021067.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T63B,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U40Z,"Mental Health Treatment with ECT, Sameday",0.0,0.0,1.0,1.0,0.074,1.0,,,,0.2612,,0.214,0.029,0.074,0.074,0.074,0.074,0.074,0.074,,,,,,,,,,,,,,,,,,,,,,,PC3051,0,,204031068.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T64A,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U60Z,"Mental Health Treatment without ECT, Sameday",0.0,0.0,1.0,1.0,0.199,2.0,,,,0.1181,,0.416,0.293,0.105,0.031,0.027,0.199,0.199,0.199,,,,,,,,,,,,,,,,,,,,,,,PC3052,0,,204031069.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T64B,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U61A,"Schizophrenia Disorders, Major Complexity",0.0,0.0,4.0,40.0,0.031,1.0,,0.0,0.8762,3.5049,0.2049,0.045,0.026,0.02,0.031,0.027,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,PC3053,0,,204031070.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T64C,M,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U61B,"Schizophrenia Disorders, Minor Complexity",0.0,0.0,1.0,8.0,0.031,1.0,,,,0.5586,0.2735,0.045,0.026,0.02,0.031,0.027,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,PC3054,0,,204031071.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U40Z,I,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U62A,"Paranoia and Acute Psychotic Disorders, Major Complexity",0.0,0.0,6.0,15.0,0.051,1.0,,0.0,0.5352,3.2109,0.232,0.045,0.026,0.02,0.031,0.027,0.051,0.051,0.051,,,,,,,,,,,,,,,,,,,,,,,PC3055,0,,204031072.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U60Z,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U62B,"Paranoia and Acute Psychotic Disorders, Minor Complexity",0.0,0.0,1.0,9.0,0.034,1.0,,,,0.761,0.2719,0.045,0.026,0.02,0.031,0.027,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,PC3056,0,,204031073.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U61A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U63A,"Major Affective Disorders, Major Complexity",0.0,0.0,4.0,41.0,0.054,1.0,,0.0,1.0752,4.3007,0.2413,0.091,0.026,0.022,0.031,0.027,0.054,0.054,0.054,,,,,,,,,,,,,,,,,,,,,,,PC3057,0,,204031075.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U61B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U63B,"Major Affective Disorders, Minor Complexity",0.0,0.0,1.0,10.0,0.021,1.0,,,,0.8663,0.2719,0.091,0.026,0.022,0.031,0.027,0.021,0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,PC3058,0,,204031491.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U62A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U64A,"Other Affective and Somatoform Disorders, Major Complexity",0.0,0.0,2.0,18.0,0.038,1.0,,0.0,0.9842,1.9684,0.2372,0.045,0.026,0.02,0.031,0.027,0.038,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,PC3059,0,,204031492.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U62B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U64B,"Other Affective and Somatoform Disorders, Minor Complexity",0.0,0.0,1.0,7.0,0.046,1.0,,,,0.5249,0.2601,0.045,0.026,0.02,0.031,0.027,0.046,0.046,0.046,,,,,,,,,,,,,,,,,,,,,,,PC3060,0,,205011076.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U63A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U65A,"Anxiety Disorders, Major Complexity",0.0,0.0,2.0,22.0,0.046,1.58,,0.0,1.0629,2.1258,0.2474,0.074,0.064,0.033,0.031,0.032,0.046,0.046,0.046,,,,,,,,,,,,,,,,,,,,,,,PC3061,0,,205011077.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U63B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U65B,"Anxiety Disorders, Minor Complexity",0.0,0.0,1.0,7.0,0.081,1.87,,,,0.6416,0.2676,0.128,0.086,0.036,0.031,0.032,0.081,0.081,0.081,,,,,,,,,,,,,,,,,,,,,,,PC3062,0,,205011078.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U64A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U66A,"Eating and Obsessive-Compulsive Disorders, Major Complexity",0.0,0.0,11.0,24.0,0.022,1.17,,0.0,0.514,5.6542,0.2833,0.027,0.018,0.015,0.019,0.027,0.022,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,PC3063,0,,205011079.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U64B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U66B,"Eating and Obsessive-Compulsive Disorders, Minor Complexity",0.0,0.0,3.0,28.0,0.019,1.17,,0.0,1.122,3.3659,0.3007,0.022,0.018,0.016,0.014,0.027,0.019,0.019,0.019,,,,,,,,,,,,,,,,,,,,,,,PC3064,0,,205021080.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U65A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U67A,"Personality Disorders and Acute Reactions, Major Complexity",0.0,0.0,2.0,27.0,0.056,1.64,,0.0,1.2925,2.5849,0.2036,0.091,0.026,0.02,0.031,0.027,0.056,0.056,0.056,,,,,,,,,,,,,,,,,,,,,,,PC3065,0,,205021081.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U65B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U67B,"Personality Disorders and Acute Reactions, Minor Complexity",0.0,0.0,1.0,8.0,0.052,1.79,,,,0.6548,0.2478,0.091,0.026,0.02,0.031,0.027,0.052,0.052,0.052,,,,,,,,,,,,,,,,,,,,,,,PC3066,0,,205021082.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U66A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U68A,"Neurodevelopmental Disorders and Symbolic Dysfunctions, Major Complexity",0.0,0.0,3.0,31.0,0.031,1.0,,0.0,1.4276,4.2829,0.2491,0.045,0.026,0.02,0.031,0.027,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,PC3067,0,,205021083.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U66B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U68B,"Neurodevelopmental Disorders and Symbolic Dysfunctions, Minor Complexity",0.0,0.0,1.0,9.0,0.031,1.47,,,,0.9843,0.3262,0.045,0.026,0.02,0.031,0.027,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,PC3068,0,,205021084.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U67A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V60A,"Alcohol Intoxication and Withdrawal, Major Complexity",0.0,0.0,1.0,12.0,0.063,1.0,,,,1.0463,0.2764,0.103,0.045,0.02,0.062,0.037,0.063,0.063,0.063,,,,,,,,,,,,,,,,,,,,,,,PC3070,0,,205021085.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U67B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V60B,"Alcohol Intoxication and Withdrawal, Minor Complexity",0.0,0.0,1.0,4.0,0.076,0.8,,,,0.2967,0.1879,0.099,0.046,0.047,0.062,0.037,0.076,0.076,0.076,,,,,,,,,,,,,,,,,,,,,,,PC3071,0,,205021086.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U68A,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V61A,"Drug Intoxication and Withdrawal, Major Complexity",0.0,0.0,1.0,9.0,0.037,1.0,,,,0.8835,0.3125,0.064,0.049,0.027,0.048,0.031,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,PC3072,0,,205031087.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U68B,M,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V61B,"Drug Intoxication and Withdrawal, Minor Complexity",0.0,0.0,1.0,4.0,0.089,1.0,,,,0.3293,0.2108,0.064,0.049,0.027,0.048,0.031,0.089,0.089,0.089,,,,,,,,,,,,,,,,,,,,,,,PC3073,0,,205031088.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V60A,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V62A,"Alcohol Use and Dependence, Major Complexity",0.0,0.0,2.0,19.0,0.038,1.0,,0.0,0.9252,1.8504,0.2686,0.038,0.049,0.028,0.048,0.031,0.038,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,PC3074,0,,205031089.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V60B,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V62B,"Alcohol Use and Dependence, Minor Complexity",0.0,0.0,1.0,10.0,0.048,1.0,,,,0.7041,0.2237,0.058,0.049,0.026,0.048,0.031,0.048,0.048,0.048,,,,,,,,,,,,,,,,,,,,,,,PC3075,0,,205031090.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V61A,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V63Z,Opioid Use and Dependence,0.0,0.0,1.0,12.0,0.052,1.0,,,,1.2008,0.2642,0.064,0.049,0.027,0.048,0.031,0.052,0.052,0.052,,,,,,,,,,,,,,,,,,,,,,,PC3076,0,,205031091.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V61B,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V64A,"Other Drug Use and Dependence, Major Complexity",0.0,0.0,1.0,18.0,0.052,1.0,,,,1.4861,0.2506,0.064,0.049,0.027,0.048,0.031,0.052,0.052,0.052,,,,,,,,,,,,,,,,,,,,,,,PC3078,0,,205031092.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V62A,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V64B,"Other Drug Use and Dependence, Minor Complexity",0.0,0.0,1.0,8.0,0.052,1.0,,,,0.6029,0.2678,0.064,0.049,0.027,0.048,0.031,0.052,0.052,0.052,,,,,,,,,,,,,,,,,,,,,,,PC3079,0,,205031093.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V62B,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01A,"Ventilation, Tracheostomy and Cranial Interventions for Multiple Significant Trauma, Major Complexity",0.0,0.0,8.0,81.0,0.108,1.0,,4.2885,2.5229,24.4717,0.3525,0.189,0.109,0.041,0.06,0.075,0.062,0.108,0.108,,,,,,,,,,,,,,,,,,,,,,,PC3081,0,,205041094.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V63Z,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01B,"Ventilation, Tracheostomy and Cranial Interventions for Multiple Significant Trauma, Intermediate Complexity",0.0,0.0,4.0,45.0,0.108,1.0,,2.576,3.2831,15.7086,0.3884,0.189,0.109,0.041,0.06,0.075,0.062,0.108,0.108,,,,,,,,,,,,,,,,,,,,,,,PC3082,0,,205041095.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V64A,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01C,"Ventilation, Tracheostomy and Cranial Interventions for Multiple Significant Trauma, Minor Complexity",0.0,0.0,2.0,24.0,0.108,1.0,,1.4313,3.815,9.0613,0.3863,0.189,0.109,0.041,0.06,0.075,0.062,0.108,0.108,,,,,,,,,,,,,,,,,,,,,,,PC3083,0,,205041096.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V64B,M,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02A,"Hip, Femur and Lower Limb Interventions for Multiple Significant Trauma, Major Complexity",0.0,0.0,6.0,55.0,0.131,1.0,,2.6047,1.5776,12.0706,0.4192,0.206,0.109,0.041,0.06,0.075,0.062,0.131,0.131,,,,,,,,,,,,,,,,,,,,,,,PC3084,0,,205041098.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W01A,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02B,"Hip, Femur and Lower Limb Interventions for Multiple Significant Trauma, Minor Complexity",0.0,0.0,3.0,28.0,0.13,1.0,,1.3357,1.212,4.9717,0.2592,0.197,0.109,0.041,0.06,0.075,0.062,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,PC3085,0,,205041493.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W01B,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W03Z,Abdominal Interventions for Multiple Significant Trauma,0.0,0.0,3.0,30.0,0.169,1.0,,1.3193,1.4506,5.6711,0.4418,0.189,0.109,0.041,0.06,0.075,0.062,0.169,0.169,,,,,,,,,,,,,,,,,,,,,,,PC3087,0,,205041494.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W01C,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W04A,"Multiple Significant Trauma with Other GIs, Major Complexity",0.0,0.0,11.0,25.0,0.166,1.0,,3.3231,0.6502,10.475,0.3425,0.223,0.109,0.041,0.06,0.075,0.062,0.166,0.166,,,,,,,,,,,,,,,,,,,,,,,PC3088,0,,205051099.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W02A,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W04B,"Multiple Significant Trauma with Other GIs, Minor Complexity",0.0,0.0,2.0,24.0,0.127,1.0,,1.0065,2.0356,5.0777,0.4005,0.223,0.109,0.041,0.06,0.075,0.062,0.127,0.127,,,,,,,,,,,,,,,,,,,,,,,PC3089,0,,205051100.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W02B,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W60Z,"Multiple Significant Trauma, Transferred to Acute Facility < 5 Days",0.0,0.0,1.0,4.0,0.091,1.0,,,,1.0432,,0.142,0.068,0.043,0.048,0.049,0.032,0.031,0.091,,,,,,,,,,,,,,,,,,,,,,,PC3090,0,,205051101.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W03Z,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W61A,"Multiple Significant Trauma without GIs, Major Complexity",0.0,0.0,3.0,32.0,0.068,1.33,,0.0,1.1743,3.5228,0.2623,0.116,0.058,0.033,0.048,0.049,0.032,0.031,0.068,,,,,,,,,,,,,,,,,,,,,,,PC3091,0,,205051102.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W04A,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W61B,"Multiple Significant Trauma without GIs, Minor Complexity",0.0,0.0,1.0,15.0,0.071,1.4,,,,1.4175,0.2665,0.12,0.058,0.028,0.048,0.049,0.032,0.031,0.071,,,,,,,,,,,,,,,,,,,,,,,PC3093,0,,205051103.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W04B,I,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X02A,"Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Major Complexity",0.0,0.0,2.0,20.0,0.191,1.0,,0.5323,2.2013,4.9348,0.4394,0.474,0.187,0.041,0.06,0.075,0.062,0.191,0.191,,,,,,,,,,,,,,,,,,,,,,,PC3094,0,,205051104.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W60Z,M,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X02B,"Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Minor Complexity",0.0,0.0,1.0,5.0,0.245,1.33,,,,0.9871,0.5351,0.552,0.248,0.041,0.06,0.075,0.062,0.245,0.245,,,,,,,,,,,,,,,,,,,,,,,PC3095,0,,206011106.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W61A,M,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X04A,"Other Interventions for Injuries to Lower Limb, Major Complexity",0.0,0.0,3.0,33.0,0.094,1.0,,0.6089,1.12,3.9688,0.2383,0.168,0.102,0.029,0.06,0.075,0.062,0.094,0.094,,,,,,,,,,,,,,,,,,,,,,,PC3096,0,,206011107.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W61B,M,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
